RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,EmptyArena,BMatchWCRank,RMatchWCRank,RWFlyweightRank,RWFeatherweightRank,RWStrawweightRank,RWBantamweightRank,RHeavyweightRank,RLightHeavyweightRank,RMiddleweightRank,RWelterweightRank,RLightweightRank,RFeatherweightRank,RBantamweightRank,RFlyweightRank,RPFPRank,BWFlyweightRank,BWFeatherweightRank,BWStrawweightRank,BWBantamweightRank,BHeavyweightRank,BLightHeavyweightRank,BMiddleweightRank,BWelterweightRank,BLightweightRank,BFeatherweightRank,BBantamweightRank,BFlyweightRank,BPFPRank,BetterRank,Finish,FinishDetails,FinishRound,FinishRoundTime,TotalFightTimeSecs,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds
Robbie Lawler,Bryan Barberena,100,-120,100,83.3333,7/2/2022,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Welterweight,MALE,3,0,2,0,5.35,0.48,0.3,0.13,0.22,2,6,37,0,0,1,3,3,1,0,8,Southpaw,182.88,182.88,185,0,1,0,3.85,0.47,0,0.65,0.64,5,14,94,6,0,3,4,13,0,0,20,Southpaw,180.34,187.96,170,40,33,0,1,-3,-12,-8,-57,-6,-10,1,2.54,-5.08,-7,1.5,0.3,-0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,2,4:47,587,180,215,2800,1600,400,350
Brad Riddell,Jalin Turner,130,-150,130,66.6667,7/2/2022,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Lightweight,MALE,3,0,4,0,5.6,0.48,1.1,0.79,0.55,4,2,13,0,0,0,0,4,2,0,6,Southpaw,190.5,195.58,155,1,0,0,4.71,0.53,0,1.77,0.36,4,1,15,0,0,1,3,0,0,0,4,Orthodox,170.18,180.34,155,30,27,-1,4,0,2,1,-2,0,4,2,20.32,15.24,-3,0.89,1.1,-0.98,,,14,,,,,,,,,14,,,,,,,,,,,,,,,,,,Red,SUB,Guillotine Choke,1,0:45,45,350,450,1800,600,300,150
Jim Miller,Donald Cerrone,-190,160,52.6316,160,7/2/2022,"Las Vegas, Nevada, USA",USA,Red,FALSE,Welterweight,MALE,3,5,0,0,4.41,0.46,1.2,1.16,0.33,8,16,104,4,0,0,9,10,10,0,29,Orthodox,185.42,185.42,155,0,2,0,2.99,0.42,1.7,1.53,0.44,7,15,87,0,0,2,6,5,10,0,23,Southpaw,172.72,180.34,155,38,39,5,-2,1,6,1,17,4,5,0,12.7,5.08,1,1.42,-0.5,-0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Guillotine Choke,2,1:32,392,275,550,300,900,250,350
Ian Garry,Gabe Green,-190,160,52.6316,160,7/2/2022,"Las Vegas, Nevada, USA",USA,Red,FALSE,Welterweight,MALE,3,0,2,0,6.28,0.45,0.3,0.83,0.5,2,1,8,0,0,0,1,1,0,0,2,Switch,177.8,185.42,155,0,2,0,5.5,0.55,0.3,0.77,0.55,2,0,4,0,0,0,1,1,0,0,2,Orthodox,190.5,187.96,170,24,29,0,0,0,0,1,4,0,0,0,-12.7,-2.54,5,0.78,0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,165,330,900,1000,250,600
Brad Tavares,Dricus Du Plessis,145,-170,145,58.8235,7/2/2022,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Middleweight,MALE,3,0,2,0,6.18,0.49,0.9,3.04,0.5,2,0,3,2,0,0,0,2,0,0,2,Switch,185.42,193.04,185,0,2,0,3.38,0.43,0,0.78,0.26,5,6,55,0,0,3,9,2,0,0,14,Orthodox,185.42,187.96,185,34,28,0,0,-3,-12,-6,-52,2,0,0,0,5.08,-6,2.8,0.9,2.26,,,12,,,,,,,12,,,,,,,,,,,,,,,,,,,,Red,U-DEC,,3,5:00,900,225,400,2500,650,650,140
Uriah Hall,Andre Muniz,285,-345,285,28.9855,7/2/2022,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Middleweight,MALE,3,0,6,0,1.97,0.5,1.2,4.23,0.5,6,0,10,0,0,0,2,0,4,0,6,Southpaw,185.42,198.12,185,1,0,0,3.23,0.48,0.1,0.54,0.38,4,8,42,1,0,1,1,8,0,0,10,Orthodox,182.88,200.66,185,37,32,-1,6,2,-4,-8,-32,-1,-8,4,2.54,-2.54,-5,-1.26,1.1,3.69,,13,9,,,,,,,9,,,,,,,,,,,,,13,,,,,,,Red,U-DEC,,3,5:00,900,1000,400,2800,-110,400,350
Jessica Eye,Maycee Barber,260,-315,260,31.746,7/2/2022,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Women's Flyweight,FEMALE,3,0,2,0,4.7,0.53,0.1,1.44,0.43,4,2,20,0,0,1,1,4,0,0,6,Switch,165.1,165.1,125,3,0,0,3.86,0.37,0.5,0.58,0.4,3,9,45,1,0,2,2,1,0,0,5,Orthodox,167.64,167.64,125,35,24,-3,2,1,1,-7,-25,-1,3,0,-2.54,-2.54,-11,0.84,-0.4,0.86,,13,10,10,,,,,,,,,,,,,13,,,,,,,,,,,,,Red,U-DEC,,3,5:00,900,400,-150,1600,1100,1200,350
Jessica-Rose Clark,Julija Stoliarenko,-155,135,64.5161,135,7/2/2022,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Women's Bantamweight,FEMALE,3,4,0,0,2.49,0.39,1.7,0.93,0.27,0,4,12,0,0,0,0,0,0,0,0,Orthodox,170.18,167.64,125,1,0,0,3.73,0.51,0.3,1.66,0.42,2,3,19,0,0,1,2,1,0,0,4,Orthodox,165.1,162.56,135,34,29,3,0,-2,-4,1,-7,0,-1,0,5.08,5.08,-5,-1.24,1.4,-0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Armbar,1,0:42,42,120,300,1100,400,550,1200
Arman Tsarukyan,Mateusz Gamrot,-240,200,41.6667,200,6/25/2022,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Lightweight,MALE,5,0,3,0,3.23,0.5,0.1,5.25,0.35,3,1,8,0,0,0,0,2,1,0,3,Southpaw,177.8,177.8,155,0,5,0,3.79,0.48,0,3.25,0.37,5,1,15,0,0,0,3,2,0,0,5,Orthodox,170.18,182.88,155,25,31,0,-2,-2,-2,0,-7,0,0,1,7.62,-5.08,6,-0.56,0.1,2,,12,11,,,,,,,,,11,,,,,,,,,,,,,12,,,,,Red,U-DEC,,5,5:00,1500,165,475,500,1100,225,750
Neil Magny,Shavkat Rakhmonov,350,-435,350,22.9885,6/25/2022,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Welterweight,MALE,3,0,3,0,4.12,0.61,1.8,1.49,0.29,3,0,4,0,0,0,0,1,2,0,3,Orthodox,185.42,195.58,170,0,2,0,3.44,0.46,0.2,2.15,0.4,7,7,72,0,0,2,11,5,1,0,19,Orthodox,190.5,203.2,170,34,27,0,1,-4,-16,-7,-68,0,-4,1,-5.08,-7.62,-7,0.68,1.6,-0.66,,15,10,,,,,,,,10,,,,,,,,,,,,,15,,,,,,Red,SUB,Guillotine Choke,2,4:58,598,500,300,2200,275,1400,120
Josh Parisian,Alan Baudot,-135,115,74.0741,115,6/25/2022,"Las Vegas, Nevada, USA",USA,Red,FALSE,Heavyweight,MALE,3,2,0,0,5.36,0.58,0,0,0,0,2,6,0,0,0,0,0,0,0,0,Orthodox,190.5,200.66,243,1,0,0,4.55,0.48,0.2,0.98,0.33,2,2,11,0,0,1,0,2,0,0,3,Orthodox,193.04,200.66,265,32,34,1,0,-2,-3,0,-5,0,-2,0,-2.54,0,2,0.81,-0.2,-0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,2,3:04,484,240,450,1000,1600,300,200
Thiago Moises,Christos Giagos,-240,200,41.6667,200,6/25/2022,"Las Vegas, Nevada, USA",USA,Red,FALSE,Lightweight,MALE,3,1,0,0,3.03,0.41,0.4,2.84,0.36,2,5,22,0,0,0,3,0,2,0,5,Orthodox,177.8,180.34,155,2,0,0,2.39,0.4,1.3,1.47,0.35,3,4,23,0,0,0,3,1,1,0,5,Orthodox,175.26,177.8,155,27,32,-1,0,-1,0,1,-1,0,-1,1,2.54,2.54,5,0.64,-0.9,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,1,3:05,185,175,350,225,1800,450,900
Nate Maness,Umar Nurmagomedov,650,-950,650,10.5263,6/25/2022,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Bantamweight,MALE,3,0,2,0,4.46,0.63,0.4,3.98,0.5,2,0,3,0,0,0,0,0,2,0,2,Orthodox,172.72,175.26,135,0,3,0,3.14,0.5,0.7,0.68,0.75,3,0,7,0,0,0,1,1,1,0,3,Orthodox,177.8,182.88,125,30,26,0,-1,-1,-1,0,-4,0,-1,1,-5.08,-7.62,-4,1.32,-0.3,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,1200,150,2500,100,1800,400
Chris Curtis,Rodolfo Vieira,-115,-105,86.9565,95.2381,6/25/2022,"Las Vegas, Nevada, USA",USA,Red,FALSE,Middleweight,MALE,3,0,1,0,3.19,0.54,1.6,4.18,0.3,2,1,8,0,0,0,0,0,3,0,3,Orthodox,182.88,185.42,185,0,3,0,5.76,0.51,0,0,0,3,0,6,0,0,0,0,3,0,0,3,Orthodox,177.8,190.5,185,34,32,0,-2,-1,0,1,2,0,-3,3,5.08,-5.08,-2,-2.57,1.6,4.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,1000,900,2200,150,100,1000
Carlos Ulberg,Tafon Nchukwi,135,-155,135,64.5161,6/25/2022,"Las Vegas, Nevada, USA",USA,Red,FALSE,Light Heavyweight,MALE,3,1,0,0,5.57,0.52,0,0.76,0.57,2,2,14,0,0,0,2,1,0,0,3,Orthodox,182.88,195.58,185,0,1,0,7.41,0.59,0.3,0.95,0.75,1,1,6,0,0,0,1,1,0,0,2,Orthodox,193.04,195.58,205,31,27,1,-1,1,1,1,8,0,0,0,-10.16,0,-4,-1.84,-0.3,-0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,1,1:15,75,380,,1800,,240,
Shayilan Nuerdanbieke,TJ Brown,175,-205,175,48.7805,6/25/2022,"Las Vegas, Nevada, USA",USA,Red,FALSE,Featherweight,MALE,3,0,2,0,3.37,0.44,1.3,3.41,0.57,2,2,14,0,0,1,1,0,1,0,3,Switch,175.26,182.88,145,0,1,0,1.95,0.45,0.2,3.3,0.35,1,1,6,0,0,0,1,0,0,0,1,Orthodox,172.72,175.26,145,28,32,0,1,1,2,1,8,0,0,1,2.54,7.62,4,1.42,1.1,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,300,140,1300,300,800,600
Raulian Paiva,Sergey Morozov,145,-170,145,58.8235,6/25/2022,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Bantamweight,MALE,3,1,0,0,3.01,0.43,0,3.63,0.31,1,2,7,0,0,0,1,0,0,0,1,Orthodox,167.64,170.18,135,1,0,0,4.14,0.42,0.2,0.65,0.23,3,3,16,0,1,1,1,1,0,0,4,Orthodox,172.72,175.26,135,26,33,0,0,-2,-3,-1,-9,0,-1,0,-5.08,-5.08,7,-1.13,-0.2,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,330,150,900,900,425,350
JP Buys,Cody Durden,-125,105,80,105,6/25/2022,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Flyweight,MALE,3,1,0,1,3.19,0.5,0.8,4.6,0.5,1,2,8,0,0,0,1,0,0,0,1,Southpaw,170.18,170.18,125,2,0,0,1.88,0.39,2.3,1.55,0.25,1,3,8,0,0,0,0,0,1,0,1,Orthodox,165.1,170.18,135,26,31,-1,0,0,0,-1,0,0,0,-1,5.08,0,5,1.31,-1.5,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1,1:08,68,300,240,300,850,550,400
Brian Kelleher,Mario Bautista,170,-200,170,50,6/25/2022,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Bantamweight,MALE,3,0,1,0,5.69,0.48,1,2.25,0.44,2,2,11,0,0,0,2,1,0,0,3,Switch,175.26,175.26,135,1,0,0,3.31,0.41,0.7,1.68,0.41,2,6,29,0,0,0,3,2,3,0,8,Switch,167.64,167.64,135,35,28,-1,1,0,-5,-4,-18,0,-1,-3,7.62,7.62,-7,2.38,0.3,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,1,2:27,147,425,165,550,600,600,330
Vanessa Demopoulos,Jinh Yu Frey,200,-240,200,41.6667,6/25/2022,"Las Vegas, Nevada, USA",USA,Red,FALSE,Women's Strawweight,FEMALE,3,0,2,0,2.97,0.43,0.3,1.02,0.36,2,2,12,0,0,0,2,0,0,0,2,Southpaw,160.02,165.1,115,0,1,0,3.98,0.41,0.6,0.42,0.11,1,2,7,0,0,0,0,0,1,0,1,Orthodox,157.48,149.86,115,33,37,0,1,1,1,0,5,0,0,-1,2.54,15.24,4,-1.01,-0.3,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3,5:00,900,400,-110,550,600,1600,550
Calvin Kattar,Josh Emmett,-280,235,35.7143,235,6/18/2022,"Austin, Texas, USA",USA,Blue,FALSE,Featherweight,MALE,5,0,4,0,4.04,0.36,0.1,0.91,0.37,4,2,25,1,0,1,4,3,0,0,8,Orthodox,167.64,177.8,145,0,1,0,4.76,0.39,0.1,0.39,0.29,2,3,31,0,0,0,3,4,0,0,7,Orthodox,180.34,182.88,145,34,37,0,3,2,1,-1,-6,1,-1,0,-12.7,-5.08,3,-0.72,0,0.52,,7,4,,,,,,,,,,4,,,,,,,,,,,,,7,,,,Red,S-DEC,,5,5:00,1500,,450,,2000,,425
Tim Means,Kevin Holland,280,-340,280,29.4118,6/18/2022,"Austin, Texas, USA",USA,Blue,FALSE,Welterweight,MALE,3,0,1,0,4.25,0.49,0.6,0.84,0.38,5,4,39,0,0,2,2,4,2,0,10,Orthodox,190.5,205.74,185,0,3,0,5.08,0.49,0.2,1.16,0.4,4,9,54,0,0,1,6,5,2,0,14,Orthodox,187.96,190.5,170,38,29,0,-2,1,-4,-5,-15,0,-1,0,2.54,15.24,-9,-0.83,0.4,-0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,D'Arce Choke,2,1:28,388,450,175,2000,500,600,180
Joaquin Buckley,Albert Duraev,195,-230,195,43.4783,6/18/2022,"Austin, Texas, USA",USA,Red,FALSE,Middleweight,MALE,3,0,2,0,2.99,0.4,0.6,1.97,0.29,2,0,4,0,0,0,1,0,1,0,2,Orthodox,180.34,190.5,185,0,2,0,4.25,0.36,0,1.69,0.44,2,2,14,0,0,1,0,3,0,0,4,Southpaw,177.8,193.04,170,28,33,0,0,0,-2,-2,-10,0,-3,1,2.54,-2.54,5,-1.26,0.6,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,,2,5:00,600,650,250,2800,200,330,380
Damir Ismagulov,Guram Kutateladze,-230,195,43.4783,195,6/18/2022,"Austin, Texas, USA",USA,Red,FALSE,Lightweight,MALE,3,0,1,0,3.95,0.45,0,0.77,0.2,1,0,3,0,0,1,0,0,0,0,1,Orthodox,180.34,182.88,155,0,4,0,3.36,0.42,0,1,0.28,4,0,12,0,0,0,4,0,0,0,4,Orthodox,177.8,187.96,155,31,30,0,-3,-3,-3,0,-9,0,0,0,2.54,-5.08,-1,0.59,0,-0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3,5:00,900,100,350,2000,1600,425,350
Julian Marquez,Gregory Rodrigues,145,-170,145,58.8235,6/18/2022,"Austin, Texas, USA",USA,Blue,FALSE,Middleweight,MALE,3,1,0,0,5.52,0.56,0.4,2.74,0.41,2,2,9,0,0,0,1,1,0,0,2,Orthodox,190.5,190.5,185,0,2,0,4.85,0.45,2.6,0,0,2,1,12,0,0,0,0,1,3,0,4,Orthodox,187.96,182.88,185,32,30,1,-2,0,-2,1,-3,0,0,-3,2.54,7.62,-2,0.67,-2.2,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1,3:18,198,550,330,800,400,330,225
Adrian Yanez,Tony Kelley,-325,270,30.7692,270,6/18/2022,"Austin, Texas, USA",USA,Red,FALSE,Bantamweight,MALE,3,0,2,0,5.55,0.47,1.4,0,0,2,1,8,0,0,0,1,1,0,0,2,Switch,175.26,177.8,135,0,5,0,6.51,0.41,0,0,0,5,0,10,0,0,1,0,4,0,0,5,Orthodox,170.18,177.8,135,28,35,0,-3,-3,-3,1,-2,0,-3,0,5.08,0,7,-0.96,1.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,1,3:49,229,175,475,900,1100,130,900
Jasmine Jasudavicius,Natalia Silva,-260,220,38.4615,220,6/18/2022,"Austin, Texas, USA",USA,Blue,FALSE,Women's Flyweight,FEMALE,3,0,0,0,4.53,0.44,0,0.5,0.28,0,0,0,0,0,0,0,0,0,0,0,Southpaw,162.56,165.1,125,0,2,0,3.79,0.45,0.5,2.39,0.41,2,0,6,0,0,0,2,0,0,0,2,Orthodox,170.18,172.72,125,33,25,0,-2,-2,-2,0,-6,0,0,0,-7.62,-7.62,-8,0.74,-0.5,-1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,105,400,600,600,400,1400
Court McGee,Jeremiah Wells,105,-125,105,80,6/18/2022,"Austin, Texas, USA",USA,Blue,FALSE,Welterweight,MALE,3,0,2,0,2.41,0.43,0.8,3.08,0.44,2,0,3,0,0,0,0,1,1,0,2,Switch,175.26,187.96,170,0,2,0,4.6,0.37,0.4,1.84,0.25,3,9,54,1,0,1,7,0,2,0,10,Orthodox,180.34,190.5,170,37,35,0,0,-1,-8,-9,-51,-1,1,-1,-5.08,-2.54,-2,-2.19,0.4,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1,1:34,94,150,300,1200,400,650,400
Ricardo Ramos,Danny Chavez,-330,275,30.303,275,6/18/2022,"Austin, Texas, USA",USA,Red,FALSE,Featherweight,MALE,3,1,0,1,2.86,0.38,0,1.95,0.6,1,1,9,0,0,0,1,0,0,0,1,Orthodox,172.72,170.18,145,1,0,0,3.03,0.36,0.8,2.77,0.61,3,3,21,0,0,1,3,1,1,0,6,Orthodox,175.26,182.88,145,26,35,0,0,-2,-5,-2,-12,0,-1,-1,-2.54,-12.7,9,-0.17,-0.8,-0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Spinning Back Elbow,1,1:12,72,-105,550,380,2200,550,500
Maria Oliveira,Gloria de Paula,235,-280,235,35.7143,6/18/2022,"Austin, Texas, USA",USA,Red,FALSE,Women's Strawweight,FEMALE,3,0,1,0,4.89,0.53,0.5,0.74,0.37,1,2,10,0,0,0,2,0,0,0,2,Orthodox,165.1,170.18,115,2,0,0,5.03,0.38,0,0.95,0.44,0,2,4,0,0,0,0,0,0,0,0,Orthodox,167.64,175.26,115,25,27,-2,1,1,2,0,6,0,0,0,-2.54,-5.08,2,-0.14,0.5,-0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3,5:00,900,,-115,,1200,,350
Eddie Wineland,Cody Stamann,575,-800,575,12.5,6/18/2022,"Austin, Texas, USA",USA,Blue,FALSE,Bantamweight,MALE,3,3,0,1,4.35,0.47,0,2.22,0.37,3,4,27,0,0,2,3,0,0,0,5,Orthodox,167.64,162.56,135,2,0,0,3.4,0.29,0.1,0.34,0.33,4,11,49,3,0,1,2,8,0,0,11,Orthodox,170.18,175.26,135,37,32,1,0,-1,-6,-7,-22,-3,-8,0,-2.54,-12.7,-5,0.95,-0.1,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,1,0:59,59,900,105,3500,700,850,165
Phil Hawes,Deron Winn,-250,210,40,210,6/18/2022,"Austin, Texas, USA",USA,Red,FALSE,Middleweight,MALE,3,0,1,0,4.55,0.44,0,4.28,0.52,1,2,12,0,0,0,2,0,0,0,2,Orthodox,167.64,177.8,185,1,0,0,5.33,0.59,0.2,2.11,0.34,4,2,11,0,1,0,1,2,0,0,4,Orthodox,182.88,195.58,185,33,33,-1,1,-3,-2,0,1,0,-2,0,-15.24,-17.78,0,-0.78,-0.2,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Elbows,2,4:25,565,250,450,750,1800,120,600
Roman Dolidze,Kyle Daukaus,205,-245,205,40.8163,6/18/2022,"Austin, Texas, USA",USA,Red,FALSE,Middleweight,MALE,3,0,1,0,3.22,0.52,1.9,2.12,0.25,1,2,14,0,0,0,2,0,1,0,3,Southpaw,190.5,193.04,185,0,1,0,3.13,0.42,1.1,1.26,0.4,2,1,10,0,0,1,1,1,0,0,3,Orthodox,187.96,193.04,185,33,29,0,0,-1,0,1,4,0,-1,1,2.54,0,-4,0.09,0.8,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Knee,1,1:13,73,380,165,1100,250,800,450
Glover Teixeira,Jiri Prochazka,185,-225,185,44.4444,6/11/2022,"Kallang, Singapore",Singapore,Blue,TRUE,Light Heavyweight,MALE,5,0,2,0,5.38,0.55,0.2,0.72,0.6,2,0,4,2,0,0,0,2,0,0,2,Orthodox,190.5,203.2,205,0,6,0,3.73,0.49,0.9,2.11,0.33,8,6,56,3,0,1,2,8,8,0,19,Orthodox,187.96,193.04,205,42,29,0,-4,-6,-17,-6,-52,-1,-6,-8,2.54,10.16,-13,1.65,-0.7,-1.39,,,0,,,,,,0,,,,,,,8,,,,,,,,,,,,,,Red,SUB,Rear Naked Choke,5,4:32,1472,900,650,330,1600,800,-135
Valentina Shevchenko,Taila Santos,-630,450,15.873,450,6/11/2022,"Kallang, Singapore",Singapore,Red,TRUE,Women's Flyweight,FEMALE,5,0,4,0,3.39,0.48,1.1,2,0.76,4,1,16,0,0,0,4,0,1,0,5,Orthodox,167.64,172.72,125,0,8,0,3.28,0.52,0.4,2.56,0.63,8,2,46,10,0,1,4,4,2,0,11,Southpaw,165.1,167.64,125,34,28,0,-4,-4,-6,-1,-30,-10,-4,-1,2.54,5.08,-6,0.11,0.7,-0.56,,4,0,0,,,,,,,,,,,,1,4,,,,,,,,,,,,,Red,S-DEC,,5,5:00,1500,110,900,450,1800,180,1600
Zhang Weili,Joanna Jedrzejczyk,-160,140,62.5,140,6/11/2022,"Kallang, Singapore",Singapore,Red,FALSE,Women's Strawweight,FEMALE,3,1,0,0,6.28,0.48,0.1,0.27,0.62,8,4,55,10,0,1,7,2,0,0,10,Orthodox,167.64,165.1,115,2,0,0,5.66,0.53,0.5,2.51,0.46,5,2,19,7,0,1,2,1,1,0,5,Switch,162.56,160.02,115,32,34,-1,0,3,5,2,36,3,1,-1,5.08,5.08,2,0.62,-0.4,-2.24,,,2,,,2,,,,,,,,,,5,,,,,,,,,,,,,,Red,KO/TKO,Spinning Back Fist,2,2:28,448,120,200,1200,2800,400,900
Andre Fialho,Jake Matthews,100,-120,100,83.3333,6/11/2022,"Kallang, Singapore",Singapore,Blue,FALSE,Welterweight,MALE,3,1,0,0,3.38,0.44,0.6,1.56,0.41,3,5,37,0,0,1,4,1,4,0,10,Orthodox,180.34,185.42,170,0,2,0,3.3,0.41,0,0.25,1,2,1,5,0,0,0,0,2,0,0,2,Orthodox,182.88,187.96,170,28,27,1,-2,1,8,4,32,0,-1,4,-2.54,-2.54,-1,0.08,0.6,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,2,2:24,444,600,215,2000,600,120,1000
Jack Della Maddalena,Ramazan Emeev,-190,160,52.6316,160,6/11/2022,"Kallang, Singapore",Singapore,Red,FALSE,Welterweight,MALE,3,1,0,0,2.53,0.45,0.7,2.37,0.29,3,2,21,0,0,1,4,0,0,0,5,Southpaw,177.8,193.04,170,0,2,0,6.74,0.53,0.2,0.21,0.16,2,0,4,0,0,0,1,1,0,0,2,Switch,180.34,185.42,170,25,35,1,-2,1,3,2,17,0,-1,0,-2.54,7.62,10,-4.21,0.5,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1,2:32,152,150,240,1400,900,275,1200
SeungWoo Choi,Josh Culibao,-225,185,44.4444,185,6/11/2022,"Kallang, Singapore",Singapore,Blue,FALSE,Featherweight,MALE,3,0,1,1,3.41,0.44,0.3,0,0,1,1,8,0,0,0,1,0,0,0,1,Orthodox,177.8,185.42,145,1,0,0,3.51,0.39,0,0.86,0.54,3,3,15,0,0,0,2,1,0,0,3,Orthodox,182.88,187.96,145,29,28,-1,1,-2,-2,-2,-7,0,-1,0,-5.08,-2.54,-1,-0.1,0.3,-0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3,5:00,900,165,350,1800,1600,175,700
Maheshate,Steve Garcia,170,-200,170,50,6/11/2022,"Kallang, Singapore",Singapore,Red,FALSE,Lightweight,MALE,3,0,1,0,5,0.56,0.6,1.27,0.4,1,1,6,0,0,0,0,2,0,0,2,Southpaw,182.88,190.5,145,0,1,0,3.9,0.28,0,0,0,1,0,3,0,0,0,1,0,0,0,1,Orthodox,182.88,180.34,155,22,30,0,0,0,1,1,3,0,2,0,0,10.16,8,1.1,0.6,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1,1:14,74,450,300,2500,450,330,175
Brendan Allen,Jacob Malkoun,-290,230,34.4828,230,6/11/2022,"Kallang, Singapore",Singapore,Red,FALSE,Middleweight,MALE,3,0,2,0,3.86,0.56,0.4,6.62,0.42,2,1,7,0,0,0,2,0,0,0,2,Orthodox,175.26,185.42,185,0,1,0,3.98,0.53,1.4,1.74,0.47,4,2,17,0,0,0,2,1,4,0,7,Orthodox,187.96,190.5,185,26,26,0,1,-2,-5,-1,-10,0,-1,-4,-12.7,-5.08,0,-0.12,-1,4.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,250,550,165,1100,330,750
