RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,EmptyArena,BMatchWCRank,RMatchWCRank,RWFlyweightRank,RWFeatherweightRank,RWStrawweightRank,RWBantamweightRank,RHeavyweightRank,RLightHeavyweightRank,RMiddleweightRank,RWelterweightRank,RLightweightRank,RFeatherweightRank,RBantamweightRank,RFlyweightRank,RPFPRank,BWFlyweightRank,BWFeatherweightRank,BWStrawweightRank,BWBantamweightRank,BHeavyweightRank,BLightHeavyweightRank,BMiddleweightRank,BWelterweightRank,BLightweightRank,BFeatherweightRank,BBantamweightRank,BFlyweightRank,BPFPRank,BetterRank,Finish,FinishDetails,FinishRound,FinishRoundTime,TotalFightTimeSecs,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds
Jessica Andrade,Marina Rodriguez,,,,,4/13/2024,"Las Vegas, Nevada, USA",USA,Red,FALSE,Women's Strawweight,FEMALE,3,0,1,2,4.82,0.47,0.2,0.23,0.42,4,3,39,0,0,1,4,3,0,0,8,Orthodox,167.64,165.1,115,0,1,0,6.62,0.5,0.3,2.37,0.55,4,10,54,4,0,1,6,6,3,0,16,Orthodox,154.94,157.48,125,32,36,0,0,0,-8,-7,-15,-4,-3,-3,12.7,7.62,4,-1.8,-0.1,-2.14,,6,,,,,,,,,,,,,,,,,6,,,,,,,,,,,Blue,S-DEC,,3,5:00,900,,,,,,
King Green,Jim Miller,,,,,4/13/2024,"Las Vegas, Nevada, USA",USA,Red,FALSE,Lightweight,MALE,3,0,2,0,2.99,0.42,1.7,1.53,0.44,7,16,96,0,0,2,6,6,12,0,26,Southpaw,172.72,180.34,155,1,0,1,6.43,0.53,0.3,1.23,0.39,8,12,72,0,0,2,7,3,4,0,16,Orthodox,177.8,180.34,155,37,40,-1,2,-1,10,4,24,0,3,8,-5.08,0,3,-3.44,1.4,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,,,,,,
Deiveson Figueiredo,Cody Garbrandt,,,,,4/13/2024,"Las Vegas, Nevada, USA",USA,Red,FALSE,Bantamweight,MALE,3,0,2,0,2.98,0.4,0,1.03,0.34,6,5,30,3,0,0,3,6,0,0,9,Orthodox,172.72,165.1,135,0,1,1,3.01,0.55,1.6,1.68,0.35,5,3,39,6,0,1,3,4,3,0,11,Orthodox,165.1,172.72,135,36,32,0,1,1,-2,2,-9,-3,2,-3,7.62,-7.62,-4,-0.03,-1.6,-0.65,,,8,,,,,,,,,,,8,,,,,,,,,,,,,,,,Red,SUB,Rear Naked Choke,2,4:02,542,,,,,,
Brendan Allen,Chris Curtis,-225,185,44.4444,185,4/6/2024,"Las Vegas, Nevada, USA",USA,Red,FALSE,Middleweight,MALE,5,0,1,0,5.76,0.51,0,0,0,4,2,22,0,0,1,1,4,0,0,6,Orthodox,177.8,190.5,185,0,6,0,3.98,0.53,1.4,1.74,0.47,6,2,28,0,0,0,3,1,8,0,12,Orthodox,187.96,190.5,185,28,36,0,-5,-2,-6,0,-6,0,3,-8,-10.16,0,8,1.78,-1.4,-1.74,,14,6,,,,,,,6,,,,,,,,,,,,,14,,,,,,,Red,S-DEC,,5,5:00,1500,225,750,175,2800,700,320
Alexander Hernandez,Damon Jackson,-185,154,54.0541,154,4/6/2024,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Featherweight,MALE,3,2,0,1,2.9,0.42,1.2,2.34,0.34,4,4,24,0,0,0,2,1,2,0,5,Switch,180.34,180.34,145,1,0,0,4.33,0.41,0.1,1.06,0.31,2,6,26,0,0,0,3,3,0,0,6,Orthodox,175.26,182.88,145,31,35,1,0,2,-1,-2,-2,0,-2,2,5.08,-2.54,4,-1.43,1.1,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3,5:00,900,400,450,1000,450,120,900
Morgan Charriere,Chepe Mariscal,-142,120,70.4225,120,4/6/2024,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Featherweight,MALE,3,0,2,0,4.75,0.57,0.3,3.09,0.39,2,0,5,0,0,0,1,1,0,0,2,Orthodox,170.18,175.26,145,0,1,0,3.98,0.49,0.8,1.59,0.4,1,0,1,0,0,0,0,1,0,0,1,Orthodox,172.72,175.26,145,28,31,0,1,1,1,0,4,0,0,0,-2.54,0,3,0.77,-0.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3,5:00,900,215,195,1200,1500,275,800
Ignacio Bahamondes,Christos Giagos,-310,250,32.2581,250,4/6/2024,"Las Vegas, Nevada, USA",USA,Red,FALSE,Lightweight,MALE,3,1,0,0,3.03,0.41,0.4,2.84,0.36,2,7,26,0,0,0,3,1,2,0,6,Orthodox,177.8,180.34,155,1,0,0,7.15,0.46,0.4,0,0,3,2,17,0,0,0,1,2,1,0,4,Orthodox,190.5,190.5,155,26,34,0,0,-1,2,5,9,0,-1,1,-12.7,-10.16,8,-4.12,0,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Kick,1,3:34,214,250,550,380,1100,175,800
Trevor Peek,Charlie Campbell,130,-155,130,64.5161,4/6/2024,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Lightweight,MALE,3,0,1,0,5.55,0.54,0,2.95,0.4,1,1,2,0,0,0,0,1,0,0,1,Orthodox,182.88,182.88,155,0,1,0,4.58,0.54,0,1.82,0.53,2,1,9,0,0,0,1,2,0,0,3,Switch,175.26,177.8,155,29,28,0,0,-1,-2,0,-7,0,-1,0,7.62,5.08,-1,0.97,0,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,1000,600,1800,550,200,130
Court McGee,Alex Morono,285,-360,285,27.7778,4/6/2024,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Welterweight,MALE,3,1,0,0,4.96,0.41,0.4,0.36,0.26,4,6,47,0,0,1,7,2,2,0,12,Orthodox,180.34,182.88,170,2,0,0,4.6,0.37,0.4,1.84,0.25,3,11,56,1,0,1,7,0,2,0,10,Orthodox,180.34,190.5,170,39,33,-1,0,1,2,-5,-9,-1,2,0,0,-7.62,-6,0.36,0,-1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,350,200,2000,400,1800,175
Valter Walker,Lukasz Brzeski,-250,205,40,205,4/6/2024,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Heavyweight,MALE,3,3,0,0,4.9,0.5,0.5,0.46,0.5,1,3,10,0,0,0,0,0,1,0,1,Orthodox,193.04,198.12,236,0,0,0,1.86,0.52,0.8,4.52,0.75,0,0,0,0,0,0,0,0,0,0,0,Orthodox,198.12,198.12,265,26,31,3,0,1,1,3,10,0,0,1,-5.08,0,5,3.04,-0.3,-4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,300,500,800,2000,130,400
